id,DC201
26718,Layak Minum
26802,Layak Minum
41302,Layak Minum
38698,Layak Minum
44257,Layak Minum
4087,Layak Minum
2543,Layak Minum
39565,Layak Minum
4871,Layak Minum
46131,Layak Minum
46160,Layak Minum
45834,Layak Minum
16872,Layak Minum
6716,Layak Minum
9512,Layak Minum
40285,Layak Minum
23031,Layak Minum
3743,Layak Minum
32354,Layak Minum
45936,Layak Minum
39288,Layak Minum
18341,Layak Minum
13239,Layak Minum
14868,Layak Minum
19744,Layak Minum
3901,Layak Minum
8761,Layak Minum
26895,Layak Minum
14162,Layak Minum
47020,Layak Minum
40641,Layak Minum
18177,Layak Minum
27724,Layak Minum
2224,Layak Minum
24009,Layak Minum
20329,Layak Minum
30536,Layak Minum
21636,Layak Minum
13570,Layak Minum
41784,Layak Minum
41726,Layak Minum
37412,Layak Minum
14606,Layak Minum
12959,Layak Minum
21778,Layak Minum
47410,Layak Minum
24628,Layak Minum
35869,Layak Minum
4112,Layak Minum
44589,Layak Minum
27980,Layak Minum
11047,Layak Minum
5826,Layak Minum
19524,Layak Minum
11472,Layak Minum
23599,Layak Minum
39799,Layak Minum
37903,Layak Minum
15749,Layak Minum
8818,Layak Minum
38775,Layak Minum
25368,Layak Minum
30140,Layak Minum
45238,Layak Minum
29022,Layak Minum
29645,Layak Minum
27628,Layak Minum
44212,Layak Minum
23685,Layak Minum
11874,Layak Minum
19866,Layak Minum
43,Layak Minum
20662,Layak Minum
38388,Layak Minum
10305,Layak Minum
34969,Layak Minum
10191,Layak Minum
22790,Layak Minum
15979,Layak Minum
42059,Layak Minum
26795,Layak Minum
9503,Layak Minum
43845,Layak Minum
39630,Layak Minum
39021,Layak Minum
16634,Layak Minum
12245,Layak Minum
14660,Layak Minum
34226,Layak Minum
14983,Layak Minum
30720,Layak Minum
17842,Layak Minum
26018,Layak Minum
8720,Layak Minum
47496,Layak Minum
900,Layak Minum
9275,Layak Minum
33144,Layak Minum
45934,Layak Minum
39368,Layak Minum
41777,Layak Minum
9964,Layak Minum
41438,Layak Minum
14160,Layak Minum
43871,Layak Minum
28166,Layak Minum
5811,Layak Minum
45170,Layak Minum
20694,Layak Minum
13525,Layak Minum
4671,Layak Minum
45906,Layak Minum
7902,Layak Minum
40907,Layak Minum
14223,Layak Minum
30669,Layak Minum
28701,Layak Minum
20638,Layak Minum
37464,Layak Minum
14749,Layak Minum
8489,Layak Minum
13413,Layak Minum
18125,Layak Minum
10829,Layak Minum
39481,Layak Minum
16427,Layak Minum
22089,Layak Minum
1791,Layak Minum
15319,Layak Minum
30894,Layak Minum
26490,Layak Minum
44179,Layak Minum
29538,Layak Minum
41339,Layak Minum
821,Layak Minum
17416,Layak Minum
34131,Layak Minum
21597,Layak Minum
22364,Layak Minum
7018,Layak Minum
23005,Layak Minum
21674,Layak Minum
34589,Layak Minum
39160,Layak Minum
23060,Layak Minum
10188,Layak Minum
39320,Layak Minum
6655,Layak Minum
20395,Layak Minum
44824,Layak Minum
20470,Layak Minum
169,Layak Minum
35184,Layak Minum
14386,Layak Minum
37925,Layak Minum
35509,Layak Minum
3064,Layak Minum
22502,Layak Minum
20728,Layak Minum
41652,Layak Minum
24605,Layak Minum
12092,Layak Minum
17415,Layak Minum
36940,Layak Minum
23069,Layak Minum
15995,Layak Minum
10736,Layak Minum
37686,Layak Minum
2673,Layak Minum
37923,Layak Minum
7545,Layak Minum
33837,Layak Minum
29656,Layak Minum
19724,Layak Minum
24555,Layak Minum
8776,Layak Minum
24557,Layak Minum
6095,Layak Minum
41688,Layak Minum
40570,Layak Minum
25353,Layak Minum
30830,Layak Minum
10895,Layak Minum
44023,Layak Minum
47452,Layak Minum
41122,Layak Minum
15273,Layak Minum
14599,Layak Minum
6733,Layak Minum
22316,Layak Minum
46878,Layak Minum
9368,Layak Minum
1202,Layak Minum
40702,Layak Minum
38428,Layak Minum
36972,Layak Minum
26798,Layak Minum
16222,Layak Minum
16361,Layak Minum
23574,Layak Minum
20301,Layak Minum
16581,Layak Minum
4508,Layak Minum
19023,Layak Minum
34976,Layak Minum
41299,Layak Minum
30771,Layak Minum
42196,Layak Minum
26033,Layak Minum
46653,Layak Minum
21328,Layak Minum
17706,Layak Minum
5025,Layak Minum
39812,Layak Minum
5779,Layak Minum
18787,Layak Minum
41866,Layak Minum
10758,Layak Minum
43202,Layak Minum
3744,Layak Minum
5646,Layak Minum
24229,Layak Minum
40021,Layak Minum
18743,Layak Minum
32910,Layak Minum
14639,Layak Minum
28326,Layak Minum
4417,Layak Minum
15533,Layak Minum
16321,Layak Minum
12508,Layak Minum
29574,Layak Minum
21005,Layak Minum
40184,Layak Minum
21205,Layak Minum
23907,Layak Minum
20777,Layak Minum
8678,Layak Minum
24758,Layak Minum
2794,Layak Minum
26325,Layak Minum
15980,Layak Minum
40898,Layak Minum
37353,Layak Minum
42934,Layak Minum
38615,Layak Minum
16565,Layak Minum
45367,Layak Minum
1351,Layak Minum
7004,Layak Minum
33455,Layak Minum
34579,Layak Minum
1678,Layak Minum
218,Layak Minum
37600,Layak Minum
504,Layak Minum
6663,Layak Minum
15673,Layak Minum
25029,Layak Minum
21952,Layak Minum
6845,Layak Minum
14307,Layak Minum
24021,Layak Minum
12816,Layak Minum
39982,Layak Minum
21045,Layak Minum
5589,Layak Minum
39912,Layak Minum
6121,Layak Minum
21118,Layak Minum
5220,Layak Minum
16197,Layak Minum
27884,Layak Minum
9324,Layak Minum
6653,Layak Minum
38442,Layak Minum
23669,Layak Minum
30377,Layak Minum
9566,Layak Minum
9196,Layak Minum
27971,Layak Minum
26259,Layak Minum
734,Layak Minum
25748,Layak Minum
21418,Layak Minum
12104,Layak Minum
14971,Layak Minum
635,Layak Minum
45743,Layak Minum
39292,Layak Minum
47203,Layak Minum
20088,Layak Minum
5280,Layak Minum
35297,Layak Minum
28285,Layak Minum
33409,Layak Minum
22149,Layak Minum
35190,Layak Minum
35680,Layak Minum
35166,Layak Minum
27756,Layak Minum
14156,Layak Minum
19299,Layak Minum
9580,Layak Minum
3067,Layak Minum
3180,Layak Minum
33677,Layak Minum
41820,Layak Minum
10677,Layak Minum
47653,Layak Minum
22155,Layak Minum
33272,Layak Minum
30064,Layak Minum
18714,Layak Minum
13333,Layak Minum
13914,Layak Minum
41797,Layak Minum
10840,Layak Minum
2335,Layak Minum
21058,Layak Minum
37536,Layak Minum
39186,Layak Minum
21408,Layak Minum
11147,Layak Minum
12772,Layak Minum
1214,Layak Minum
15589,Layak Minum
47788,Layak Minum
16040,Layak Minum
42200,Layak Minum
31134,Layak Minum
33367,Layak Minum
13906,Layak Minum
18366,Layak Minum
39992,Layak Minum
28736,Layak Minum
36913,Layak Minum
26192,Layak Minum
18411,Layak Minum
1502,Layak Minum
41104,Layak Minum
42495,Layak Minum
34139,Layak Minum
37191,Layak Minum
46010,Layak Minum
3069,Layak Minum
47099,Layak Minum
25383,Layak Minum
19771,Layak Minum
28780,Layak Minum
7830,Layak Minum
24227,Layak Minum
37739,Layak Minum
24932,Layak Minum
3414,Layak Minum
41744,Layak Minum
17526,Layak Minum
26012,Layak Minum
8826,Layak Minum
19887,Layak Minum
27785,Layak Minum
21126,Layak Minum
26362,Layak Minum
9694,Layak Minum
22407,Layak Minum
25043,Layak Minum
9346,Layak Minum
10729,Layak Minum
12813,Layak Minum
40983,Layak Minum
6989,Layak Minum
39870,Layak Minum
45337,Layak Minum
19522,Layak Minum
7600,Layak Minum
33793,Layak Minum
17153,Layak Minum
30402,Layak Minum
32801,Layak Minum
20224,Layak Minum
25512,Layak Minum
18271,Layak Minum
45476,Layak Minum
30888,Layak Minum
2536,Layak Minum
4462,Layak Minum
13937,Layak Minum
8930,Layak Minum
30933,Layak Minum
39451,Layak Minum
11381,Layak Minum
28291,Layak Minum
39179,Layak Minum
15368,Layak Minum
36779,Layak Minum
45814,Layak Minum
6031,Layak Minum
32554,Layak Minum
21913,Layak Minum
10298,Layak Minum
9922,Layak Minum
9237,Layak Minum
15446,Layak Minum
26104,Layak Minum
7741,Layak Minum
21643,Layak Minum
15779,Layak Minum
37190,Layak Minum
19751,Layak Minum
24195,Layak Minum
47708,Layak Minum
35918,Layak Minum
16455,Layak Minum
2164,Layak Minum
34784,Layak Minum
22518,Layak Minum
5623,Layak Minum
22054,Layak Minum
39334,Layak Minum
29565,Layak Minum
23150,Layak Minum
14803,Layak Minum
11263,Layak Minum
43929,Layak Minum
15761,Layak Minum
7833,Layak Minum
25058,Layak Minum
21490,Layak Minum
18214,Layak Minum
26090,Layak Minum
29116,Layak Minum
8744,Layak Minum
30949,Layak Minum
43112,Layak Minum
23805,Layak Minum
15540,Layak Minum
44806,Layak Minum
11442,Layak Minum
33,Layak Minum
20418,Layak Minum
19360,Layak Minum
47186,Layak Minum
29973,Layak Minum
28708,Layak Minum
17845,Layak Minum
43637,Layak Minum
10553,Layak Minum
11486,Layak Minum
16923,Layak Minum
43278,Layak Minum
33302,Layak Minum
6547,Layak Minum
46514,Layak Minum
19089,Layak Minum
8010,Layak Minum
23586,Layak Minum
4694,Layak Minum
17702,Layak Minum
26632,Layak Minum
35147,Layak Minum
37189,Layak Minum
26668,Layak Minum
7402,Layak Minum
37117,Layak Minum
16908,Layak Minum
3295,Layak Minum
315,Layak Minum
44849,Layak Minum
34001,Layak Minum
7603,Layak Minum
36106,Layak Minum
39893,Layak Minum
22001,Layak Minum
16324,Layak Minum
45953,Layak Minum
25019,Layak Minum
5950,Layak Minum
30194,Layak Minum
28159,Layak Minum
37011,Layak Minum
29607,Layak Minum
3394,Layak Minum
1594,Layak Minum
16976,Layak Minum
40775,Layak Minum
2294,Layak Minum
28290,Layak Minum
44155,Layak Minum
17837,Layak Minum
45112,Layak Minum
30362,Layak Minum
3563,Layak Minum
22359,Layak Minum
34712,Layak Minum
32524,Layak Minum
3253,Layak Minum
25380,Layak Minum
28145,Layak Minum
8538,Layak Minum
32948,Layak Minum
25572,Layak Minum
47062,Layak Minum
7517,Layak Minum
35229,Layak Minum
28246,Layak Minum
38922,Layak Minum
32298,Layak Minum
19364,Layak Minum
6454,Layak Minum
39169,Layak Minum
2657,Layak Minum
8011,Layak Minum
15794,Layak Minum
2679,Layak Minum
779,Layak Minum
1327,Layak Minum
4516,Layak Minum
43310,Layak Minum
24940,Layak Minum
19041,Layak Minum
14407,Layak Minum
14713,Layak Minum
39830,Layak Minum
29635,Layak Minum
4432,Layak Minum
38920,Layak Minum
5101,Layak Minum
41066,Layak Minum
8047,Layak Minum
42701,Layak Minum
45321,Layak Minum
19782,Layak Minum
41696,Layak Minum
1564,Layak Minum
6251,Layak Minum
38252,Layak Minum
29752,Layak Minum
35203,Layak Minum
37336,Layak Minum
37862,Layak Minum
14520,Layak Minum
25980,Layak Minum
15883,Layak Minum
7639,Layak Minum
2384,Layak Minum
5815,Layak Minum
10922,Layak Minum
8130,Layak Minum
38490,Layak Minum
645,Layak Minum
33574,Layak Minum
39745,Layak Minum
2885,Layak Minum
22101,Layak Minum
17714,Layak Minum
21114,Layak Minum
30558,Layak Minum
16540,Layak Minum
28182,Layak Minum
14096,Layak Minum
31040,Layak Minum
32745,Layak Minum
37878,Layak Minum
12069,Layak Minum
8995,Layak Minum
1878,Layak Minum
7746,Layak Minum
25982,Layak Minum
39530,Layak Minum
23710,Layak Minum
3907,Layak Minum
40788,Layak Minum
37120,Layak Minum
25467,Layak Minum
38094,Layak Minum
3746,Layak Minum
36993,Layak Minum
25313,Layak Minum
34873,Layak Minum
36740,Layak Minum
28412,Layak Minum
24090,Layak Minum
34355,Layak Minum
46275,Layak Minum
21436,Layak Minum
9597,Layak Minum
20653,Layak Minum
45889,Layak Minum
23510,Layak Minum
30602,Layak Minum
42071,Layak Minum
8739,Layak Minum
27970,Layak Minum
39192,Layak Minum
38923,Layak Minum
8434,Layak Minum
11338,Layak Minum
22999,Layak Minum
7894,Layak Minum
28101,Layak Minum
10462,Layak Minum
23572,Layak Minum
42021,Layak Minum
6277,Layak Minum
47108,Layak Minum
35759,Layak Minum
41316,Layak Minum
5403,Layak Minum
228,Layak Minum
34878,Layak Minum
34434,Layak Minum
28613,Layak Minum
10684,Layak Minum
20040,Layak Minum
21957,Layak Minum
6894,Layak Minum
43894,Layak Minum
15021,Layak Minum
14157,Layak Minum
16469,Layak Minum
1683,Layak Minum
1808,Layak Minum
7963,Layak Minum
47125,Layak Minum
42356,Layak Minum
8033,Layak Minum
28631,Layak Minum
19136,Layak Minum
46488,Layak Minum
45211,Layak Minum
21834,Layak Minum
20197,Layak Minum
32767,Layak Minum
39032,Layak Minum
45776,Layak Minum
4811,Layak Minum
1975,Layak Minum
16225,Layak Minum
23639,Layak Minum
3584,Layak Minum
12641,Layak Minum
3567,Layak Minum
13207,Layak Minum
26174,Layak Minum
7660,Layak Minum
15744,Layak Minum
8940,Layak Minum
43219,Layak Minum
35533,Layak Minum
34361,Layak Minum
24177,Layak Minum
2116,Layak Minum
46736,Layak Minum
33314,Layak Minum
12360,Layak Minum
4340,Layak Minum
38059,Layak Minum
17599,Layak Minum
47069,Layak Minum
12250,Layak Minum
1770,Layak Minum
15302,Layak Minum
21416,Layak Minum
38860,Layak Minum
541,Layak Minum
297,Layak Minum
9901,Layak Minum
42146,Layak Minum
20462,Layak Minum
22702,Layak Minum
37668,Layak Minum
9900,Layak Minum
23828,Layak Minum
34573,Layak Minum
10307,Layak Minum
27542,Layak Minum
2094,Layak Minum
42008,Layak Minum
37937,Layak Minum
14178,Layak Minum
42832,Layak Minum
16364,Layak Minum
30272,Layak Minum
28388,Layak Minum
31013,Layak Minum
89,Layak Minum
14273,Layak Minum
4677,Layak Minum
9059,Layak Minum
30802,Layak Minum
2532,Layak Minum
27714,Layak Minum
6418,Layak Minum
18529,Layak Minum
45246,Layak Minum
25637,Layak Minum
23326,Layak Minum
15288,Layak Minum
6632,Layak Minum
5549,Layak Minum
39190,Layak Minum
3346,Layak Minum
19283,Layak Minum
1109,Layak Minum
22031,Layak Minum
6930,Layak Minum
6452,Layak Minum
13929,Layak Minum
14054,Layak Minum
41591,Layak Minum
17354,Layak Minum
14689,Layak Minum
41891,Layak Minum
29819,Layak Minum
16691,Layak Minum
28686,Layak Minum
11511,Layak Minum
23421,Layak Minum
32800,Layak Minum
41175,Layak Minum
12683,Layak Minum
28769,Layak Minum
24062,Layak Minum
30645,Layak Minum
1244,Layak Minum
14763,Layak Minum
29540,Layak Minum
19261,Layak Minum
1591,Layak Minum
26120,Layak Minum
41835,Layak Minum
43709,Layak Minum
3790,Layak Minum
20594,Layak Minum
28160,Layak Minum
41200,Layak Minum
9573,Layak Minum
25894,Layak Minum
36394,Layak Minum
24102,Layak Minum
37143,Layak Minum
11003,Layak Minum
