id,DC024,DC025,DC205,DC206,DC207,DC208,DC209,DC210,DC211,DC212,DC213,DC214,DC215,DC216,DC217,DC219,DC220,DC226,DC230a,DC230b,DC232,DC232b,DC235,DC237,DC237a,DC237b,DC237c,DC237d,DC237e,DC237f,DC241,DC242,DC244,DC246,DC252,DC270a,DC109,DC142a,DC201
1,11,2,16,1,0,1,0,0,0,0,35,36,31,1,1,2,80,8,1,1,1,0,1,1,1,0,0,0,0,0,1,0,0,0,2,1,12,60,Layak Minum
2,11,2,31,1,0,1,0,0,1,0,35,36,31,2,4,1,44,2,1,1,1,0,1,1,1,0,0,0,0,0,1,0,1,1,1,2,31,70,Layak Minum
3,11,2,12,1,0,1,1,1,1,0,35,36,31,2,2,1,35,2,1,1,1,0,1,1,1,0,0,0,0,0,1,0,1,1,0,4,11,75,Layak Minum
6,11,2,12,1,0,0,0,0,1,0,35,36,31,3,4,1,79,8,1,1,1,0,1,1,1,0,0,0,0,0,2,NA,1,0,1,1,11,85,Layak Minum
7,11,2,12,1,0,1,1,0,0,0,35,36,31,2,3,2,37,8,2,1,1,0,1,1,1,0,0,1,0,0,1,0,0,1,0,2,11,65,Layak Minum
9,11,2,16,1,0,0,0,0,1,0,11,36,31,1,1,2,36,8,1,1,1,0,2,1,1,0,0,0,0,0,1,1,0,0,3,1,12,12,Layak Minum
10,11,2,31,1,0,1,0,0,1,0,35,36,31,3,4,1,45,2,1,1,1,0,2,1,1,0,0,0,0,0,1,1,1,0,1,2,31,60,Tidak Layak Minum
13,11,2,12,1,0,1,1,1,1,1,33,35,31,4,4,1,69,2,2,1,1,0,1,1,1,0,0,0,0,0,1,0,1,1,1,5,11,96,Layak Minum
15,11,2,12,1,0,0,0,0,1,0,21,36,31,1,2,1,31,8,1,1,1,0,2,1,1,0,0,0,0,0,1,0,0,1,0,1,11,12,Layak Minum
18,11,2,21,1,0,1,1,0,1,0,21,36,31,1,2,1,31,2,1,1,1,0,2,1,1,0,0,0,0,0,1,0,1,0,1,3,41,40,Layak Minum
19,11,2,12,1,1,1,1,0,1,0,35,36,31,1,3,1,57,2,1,1,1,0,2,0,0,0,0,0,0,0,1,1,0,1,1,4,11,75,Layak Minum
20,11,2,16,1,0,1,1,0,1,0,35,23,31,1,2,1,39,2,1,1,1,0,1,1,1,0,0,0,0,0,1,1,1,0,1,3,12,70,Layak Minum
23,11,2,31,1,0,1,0,0,0,0,35,35,31,1,2,1,22,2,1,1,0,0,2,1,1,0,0,0,0,0,1,1,0,0,1,2,31,42,Tidak Layak Minum
24,11,2,31,1,0,1,0,0,1,0,21,36,31,1,2,1,31,2,2,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,31,40,Layak Minum
25,11,2,12,1,0,1,1,1,1,0,33,35,31,2,4,1,36,2,2,1,1,0,1,1,1,0,0,0,0,0,1,0,1,1,1,5,11,57,Layak Minum
26,11,2,16,1,0,1,1,0,1,1,35,35,31,1,2,1,55,2,1,1,1,0,2,1,1,0,0,0,0,0,1,1,1,1,1,4,12,90,Layak Minum
27,11,2,31,1,1,1,0,0,1,0,33,35,31,3,4,1,55,8,1,1,1,0,2,1,1,0,0,0,0,0,1,1,1,1,1,2,31,96,Tidak Layak Minum
29,11,2,31,1,0,1,1,0,1,0,35,36,31,2,4,1,62,8,2,1,1,0,1,1,1,0,0,0,0,0,2,NA,0,1,1,2,31,62,Layak Minum
30,11,2,16,1,0,1,1,0,1,0,33,36,31,2,4,1,44,2,1,1,1,0,2,1,1,0,0,0,0,0,1,1,0,0,1,4,12,60,Layak Minum
31,11,2,16,1,0,1,1,0,1,0,33,36,31,1,2,1,59,2,2,1,1,0,1,1,1,0,0,0,0,0,1,0,1,1,1,3,12,47,Layak Minum
36,11,2,21,1,0,1,0,0,1,0,35,35,31,2,4,1,22,2,1,1,1,0,1,1,1,0,0,0,0,0,1,0,0,0,1,2,41,104,Layak Minum
37,11,2,12,1,0,1,1,0,1,1,33,35,31,1,2,1,37,2,2,1,1,0,1,1,1,0,0,0,0,0,1,0,0,0,1,5,11,78,Layak Minum
38,11,2,16,1,0,1,0,0,1,0,35,36,31,1,2,2,53,8,1,1,1,0,2,1,1,0,0,0,0,0,1,1,0,0,1,1,12,45,Layak Minum
41,11,2,12,1,0,1,1,0,1,0,35,36,31,2,4,1,55,2,1,1,1,0,2,1,1,0,0,0,0,0,1,0,1,1,1,4,11,152,Tidak Layak Minum
42,11,2,31,1,0,1,1,0,1,1,35,36,31,1,2,1,31,2,1,1,1,0,1,1,1,0,0,0,0,0,1,0,0,0,1,3,31,47,Layak Minum
44,11,2,16,0,0,1,1,0,1,0,35,35,31,3,4,1,45,2,1,1,1,0,2,1,1,0,0,0,0,0,1,1,0,1,1,3,12,42,Layak Minum
48,11,2,16,1,0,1,1,1,1,0,33,35,31,2,4,1,47,2,1,1,1,0,2,0,0,0,0,0,0,0,1,1,1,0,1,5,12,54,Layak Minum
50,11,2,12,1,0,1,1,0,0,0,35,35,31,2,3,2,66,2,2,1,1,0,1,1,1,0,0,0,0,0,1,0,1,0,0,2,11,47,Layak Minum
51,11,2,12,1,0,1,1,1,1,0,35,35,31,2,1,2,42,8,2,1,1,0,1,1,1,0,0,0,0,0,2,NA,0,0,0,3,11,72,Layak Minum
53,11,2,31,1,0,1,1,1,1,0,21,36,31,2,4,1,65,8,3,NA,NA,NA,2,1,1,0,0,0,0,0,1,0,1,1,1,2,31,64,Layak Minum
55,11,2,31,0,0,1,1,0,0,0,35,35,31,2,2,1,36,8,1,1,0,0,2,1,1,0,0,0,0,0,1,1,1,1,1,1,31,84,Layak Minum
