id,DC025,DC205,DC206,DC208,DC209,DC210,DC211,DC212,DC213,DC215,DC230a,DC230b,DC232,DC235,DC237,DC237a,DC237f,DC244,DC246,DC270a,DC109,DC201
1,2,16.0,1.0,1.0,0.0,0.0,0.0,0.0,35.0,31.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1,12.0,Layak Minum
2,2,31.0,1.0,1.0,0.0,0.0,1.0,0.0,35.0,31.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,2,31.0,Layak Minum
3,2,12.0,1.0,1.0,1.0,1.0,1.0,0.0,35.0,31.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,4,11.0,Layak Minum
6,2,12.0,1.0,0.0,0.0,0.0,1.0,0.0,35.0,31.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1,11.0,Layak Minum
7,2,12.0,1.0,1.0,1.0,0.0,0.0,0.0,35.0,31.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,2,11.0,Layak Minum
9,2,16.0,1.0,0.0,0.0,0.0,1.0,0.0,11.0,31.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,1,12.0,Layak Minum
10,2,31.0,1.0,1.0,0.0,0.0,1.0,0.0,35.0,31.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,0.0,2,31.0,Tidak Layak Minum
13,2,12.0,1.0,1.0,1.0,1.0,1.0,1.0,33.0,31.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,5,11.0,Layak Minum
15,2,12.0,1.0,0.0,0.0,0.0,1.0,0.0,21.0,31.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0,1.0,1,11.0,Layak Minum
18,2,21.0,1.0,1.0,1.0,0.0,1.0,0.0,21.0,31.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,0.0,3,41.0,Layak Minum
19,2,12.0,1.0,1.0,1.0,0.0,1.0,0.0,35.0,31.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,4,11.0,Layak Minum
20,2,16.0,1.0,1.0,1.0,0.0,1.0,0.0,35.0,31.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,3,12.0,Layak Minum
23,2,31.0,1.0,1.0,0.0,0.0,0.0,0.0,35.0,31.0,1.0,1.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,2,31.0,Tidak Layak Minum
24,2,31.0,1.0,1.0,0.0,0.0,1.0,0.0,21.0,31.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1,31.0,Layak Minum
25,2,12.0,1.0,1.0,1.0,1.0,1.0,0.0,33.0,31.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,5,11.0,Layak Minum
26,2,16.0,1.0,1.0,1.0,0.0,1.0,1.0,35.0,31.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,4,12.0,Layak Minum
27,2,31.0,1.0,1.0,0.0,0.0,1.0,0.0,33.0,31.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,2,31.0,Tidak Layak Minum
29,2,31.0,1.0,1.0,1.0,0.0,1.0,0.0,35.0,31.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,2,31.0,Layak Minum
30,2,16.0,1.0,1.0,1.0,0.0,1.0,0.0,33.0,31.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,4,12.0,Layak Minum
31,2,16.0,1.0,1.0,1.0,0.0,1.0,0.0,33.0,31.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,3,12.0,Layak Minum
36,2,21.0,1.0,1.0,0.0,0.0,1.0,0.0,35.0,31.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,2,41.0,Layak Minum
37,2,12.0,1.0,1.0,1.0,0.0,1.0,1.0,33.0,31.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,5,11.0,Layak Minum
38,2,16.0,1.0,1.0,0.0,0.0,1.0,0.0,35.0,31.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,1,12.0,Layak Minum
41,2,12.0,1.0,1.0,1.0,0.0,1.0,0.0,35.0,31.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,4,11.0,Tidak Layak Minum
42,2,31.0,1.0,1.0,1.0,0.0,1.0,1.0,35.0,31.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,3,31.0,Layak Minum
44,2,16.0,0.0,1.0,1.0,0.0,1.0,0.0,35.0,31.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0,1.0,3,12.0,Layak Minum
48,2,16.0,1.0,1.0,1.0,1.0,1.0,0.0,33.0,31.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,5,12.0,Layak Minum
50,2,12.0,1.0,1.0,1.0,0.0,0.0,0.0,35.0,31.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,2,11.0,Layak Minum
51,2,12.0,1.0,1.0,1.0,1.0,1.0,0.0,35.0,31.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,3,11.0,Layak Minum
53,2,31.0,1.0,1.0,1.0,1.0,1.0,0.0,21.0,31.0,3.0,1.0,0.0,2.0,1.0,1.0,0.0,1.0,1.0,2,31.0,Layak Minum
55,2,31.0,0.0,1.0,1.0,0.0,0.0,0.0,35.0,31.0,1.0,1.0,0.0,2.0,1.0,1.0,0.0,1.0,1.0,1,31.0,Layak Minum
57,2,31.0,1.0,1.0,0.0,1.0,1.0,0.0,35.0,31.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,2,31.0,Layak Minum
58,2,12.0,1.0,1.0,1.0,0.0,1.0,0.0,33.0,31.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,3,11.0,Layak Minum
59,2,12.0,1.0,1.0,1.0,0.0,1.0,0.0,35.0,31.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,4,11.0,Layak Minum
60,2,12.0,1.0,1.0,1.0,0.0,1.0,1.0,35.0,31.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,4,11.0,Layak Minum
61,2,16.0,1.0,1.0,0.0,0.0,1.0,0.0,35.0,31.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,2,12.0,Layak Minum
62,2,31.0,0.0,0.0,0.0,0.0,1.0,0.0,35.0,31.0,1.0,1.0,0.0,3.0,1.0,1.0,0.0,0.0,0.0,1,31.0,Layak Minum
67,2,31.0,1.0,1.0,0.0,0.0,1.0,0.0,35.0,31.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,2,31.0,Layak Minum
68,2,12.0,1.0,1.0,1.0,0.0,1.0,0.0,33.0,31.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,4,11.0,Layak Minum
69,2,31.0,1.0,1.0,0.0,0.0,1.0,0.0,33.0,31.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,3,31.0,Layak Minum
70,2,31.0,1.0,1.0,0.0,0.0,1.0,0.0,35.0,31.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,2,31.0,Layak Minum
71,2,12.0,1.0,1.0,0.0,0.0,0.0,0.0,21.0,31.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,1,11.0,Layak Minum
72,2,16.0,1.0,0.0,0.0,1.0,1.0,0.0,35.0,31.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1,12.0,Layak Minum
73,2,12.0,1.0,1.0,0.0,0.0,1.0,0.0,35.0,31.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,2,11.0,Layak Minum
74,1,12.0,1.0,1.0,1.0,0.0,1.0,0.0,33.0,31.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,4,11.0,Layak Minum
76,1,12.0,1.0,1.0,1.0,1.0,1.0,1.0,35.0,31.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,3,11.0,Layak Minum
77,1,16.0,1.0,1.0,1.0,0.0,1.0,1.0,33.0,31.0,1.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,2,12.0,Layak Minum
79,1,16.0,1.0,1.0,1.0,0.0,1.0,1.0,35.0,31.0,1.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,2,12.0,Layak Minum
81,1,12.0,1.0,1.0,1.0,1.0,1.0,0.0,33.0,31.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,4,11.0,Layak Minum
83,1,31.0,1.0,0.0,0.0,0.0,1.0,0.0,35.0,31.0,2.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,1.0,1,31.0,Tidak Layak Minum
84,1,31.0,1.0,0.0,0.0,0.0,1.0,0.0,35.0,31.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0,1.0,1,32.0,Layak Minum
88,1,12.0,1.0,1.0,1.0,0.0,1.0,0.0,35.0,31.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,2,11.0,Layak Minum
90,1,12.0,1.0,1.0,1.0,1.0,1.0,0.0,33.0,31.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,4,11.0,Layak Minum
92,1,12.0,1.0,1.0,1.0,1.0,1.0,0.0,35.0,31.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,3,11.0,Layak Minum
