DC024,DC025,DC205,DC206,DC207,DC208,DC209,DC210,DC211,DC212,DC213,DC214,DC215,DC216,DC217,DC219,DC220,DC226,DC230a,DC230b,DC232,DC232b,DC235,DC237,DC237a,DC237b,DC237c,DC237d,DC237e,DC237f,DC241,DC242,DC244,DC246,DC252,DC270a,DC109,DC142a,DC201
11,2,16.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,35.0,36.0,31.0,1.0,1,2,80.0,8.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,1,12.0,60.0,1.0
11,2,31.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,35.0,36.0,31.0,2.0,4,1,44.0,2.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,2,31.0,70.0,1.0
11,2,12.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,35.0,36.0,31.0,2.0,2,1,35.0,2.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,4,11.0,75.0,1.0
11,2,12.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,35.0,36.0,31.0,2.0,3,2,37.0,8.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2,11.0,65.0,1.0
11,2,16.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,11.0,36.0,31.0,1.0,1,2,36.0,8.0,1.0,1.0,1.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,3.0,1,12.0,12.0,1.0
11,2,31.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,35.0,36.0,31.0,3.0,4,1,45.0,2.0,1.0,1.0,1.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,2,31.0,60.0,0.0
11,2,12.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,33.0,35.0,31.0,4.0,4,1,69.0,2.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,5,11.0,96.0,1.0
11,2,12.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,21.0,36.0,31.0,1.0,2,1,31.0,8.0,1.0,1.0,1.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1,11.0,12.0,1.0
11,2,21.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,21.0,36.0,31.0,1.0,2,1,31.0,2.0,1.0,1.0,1.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,3,41.0,40.0,1.0
11,2,12.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,35.0,36.0,31.0,1.0,3,1,57.0,2.0,1.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,4,11.0,75.0,1.0
11,2,16.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,35.0,23.0,31.0,1.0,2,1,39.0,2.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,3,12.0,70.0,1.0
