DC024,DC205,DC214,DC220,DC235,DC109,DC142a,DC201
11.0,16.0,36.0,80.0,1.0,12.0,60.0,1.0
11.0,31.0,36.0,44.0,1.0,31.0,70.0,1.0
11.0,12.0,36.0,35.0,1.0,11.0,75.0,1.0
11.0,12.0,36.0,79.0,1.0,11.0,85.0,1.0
11.0,12.0,36.0,37.0,1.0,11.0,65.0,1.0
11.0,16.0,36.0,36.0,2.0,12.0,12.0,1.0
11.0,31.0,36.0,45.0,2.0,31.0,60.0,0.0
11.0,12.0,35.0,69.0,1.0,11.0,96.0,1.0
11.0,12.0,36.0,31.0,2.0,11.0,12.0,1.0
11.0,21.0,36.0,31.0,2.0,41.0,40.0,1.0
11.0,12.0,36.0,57.0,2.0,11.0,75.0,1.0
11.0,16.0,23.0,39.0,1.0,12.0,70.0,1.0
11.0,31.0,35.0,22.0,2.0,31.0,42.0,0.0
11.0,31.0,36.0,31.0,1.0,31.0,40.0,1.0
11.0,12.0,35.0,36.0,1.0,11.0,57.0,1.0
11.0,16.0,35.0,55.0,2.0,12.0,90.0,1.0
11.0,31.0,35.0,55.0,2.0,31.0,96.0,0.0
11.0,31.0,36.0,62.0,1.0,31.0,62.0,1.0
11.0,16.0,36.0,44.0,2.0,12.0,60.0,1.0
11.0,16.0,36.0,59.0,1.0,12.0,47.0,1.0
11.0,21.0,35.0,22.0,1.0,41.0,104.0,1.0
11.0,12.0,35.0,37.0,1.0,11.0,78.0,1.0
11.0,16.0,36.0,53.0,2.0,12.0,45.0,1.0
11.0,12.0,36.0,55.0,2.0,11.0,152.0,0.0
11.0,31.0,36.0,31.0,1.0,31.0,47.0,1.0
11.0,16.0,35.0,45.0,2.0,12.0,42.0,1.0
11.0,16.0,35.0,47.0,2.0,12.0,54.0,1.0
11.0,12.0,35.0,66.0,1.0,11.0,47.0,1.0
11.0,12.0,35.0,42.0,1.0,11.0,72.0,1.0
11.0,31.0,36.0,65.0,2.0,31.0,64.0,1.0
11.0,31.0,35.0,36.0,2.0,31.0,84.0,1.0
11.0,31.0,36.0,57.0,1.0,31.0,62.0,1.0
11.0,12.0,35.0,62.0,1.0,11.0,74.0,1.0
11.0,12.0,35.0,61.0,1.0,11.0,35.0,1.0
11.0,12.0,35.0,45.0,1.0,11.0,75.0,1.0
11.0,16.0,35.0,58.0,1.0,12.0,71.0,1.0
11.0,31.0,36.0,41.0,3.0,31.0,50.0,1.0
11.0,31.0,36.0,40.0,1.0,31.0,73.0,1.0
11.0,12.0,35.0,38.0,1.0,11.0,76.0,1.0
11.0,31.0,35.0,48.0,1.0,31.0,56.0,1.0
11.0,31.0,35.0,63.0,1.0,31.0,62.0,1.0
11.0,12.0,36.0,65.0,2.0,11.0,60.0,1.0
11.0,16.0,36.0,34.0,1.0,12.0,24.0,1.0
11.0,12.0,35.0,44.0,1.0,11.0,71.0,1.0
11.0,12.0,35.0,61.0,1.0,11.0,72.0,1.0
11.0,12.0,36.0,43.0,1.0,11.0,57.0,1.0
11.0,16.0,35.0,53.0,3.0,12.0,90.0,1.0
11.0,16.0,35.0,80.0,3.0,12.0,112.0,1.0
11.0,12.0,35.0,52.0,1.0,11.0,82.0,1.0
11.0,31.0,35.0,72.0,2.0,31.0,48.0,0.0
11.0,31.0,35.0,52.0,2.0,32.0,36.0,1.0
11.0,12.0,35.0,45.0,1.0,11.0,84.0,1.0
11.0,12.0,35.0,59.0,1.0,11.0,998.0,1.0
11.0,12.0,36.0,33.0,1.0,11.0,90.0,1.0
11.0,12.0,36.0,33.0,3.0,11.0,72.0,1.0
11.0,12.0,36.0,33.0,1.0,11.0,57.0,1.0
11.0,12.0,36.0,34.0,1.0,11.0,60.0,1.0
11.0,16.0,35.0,34.0,3.0,12.0,50.0,1.0
11.0,12.0,35.0,38.0,1.0,11.0,62.0,1.0
11.0,31.0,35.0,40.0,2.0,31.0,36.0,1.0
11.0,12.0,32.0,62.0,2.0,11.0,62.0,1.0
11.0,12.0,35.0,43.0,1.0,11.0,60.0,1.0
11.0,16.0,35.0,57.0,2.0,12.0,90.0,1.0
11.0,12.0,35.0,49.0,1.0,11.0,72.0,1.0
11.0,31.0,35.0,43.0,2.0,31.0,62.0,1.0
11.0,16.0,35.0,44.0,3.0,12.0,72.0,1.0
11.0,12.0,35.0,54.0,1.0,11.0,70.0,1.0
11.0,31.0,32.0,49.0,1.0,31.0,41.0,1.0
11.0,16.0,35.0,57.0,1.0,12.0,90.0,1.0
11.0,16.0,35.0,55.0,2.0,12.0,78.0,1.0
11.0,16.0,35.0,52.0,1.0,12.0,60.0,1.0
11.0,16.0,35.0,73.0,1.0,12.0,120.0,0.0
11.0,12.0,35.0,38.0,1.0,11.0,74.0,1.0
11.0,12.0,32.0,65.0,1.0,11.0,60.0,1.0
11.0,16.0,35.0,65.0,1.0,12.0,75.0,0.0
11.0,16.0,35.0,35.0,1.0,12.0,30.0,0.0
11.0,16.0,35.0,50.0,2.0,12.0,84.0,0.0
11.0,16.0,36.0,70.0,2.0,12.0,84.0,1.0
11.0,16.0,35.0,22.0,1.0,12.0,72.0,1.0
11.0,31.0,32.0,51.0,1.0,31.0,68.0,1.0
11.0,16.0,35.0,32.0,3.0,12.0,100.0,1.0
11.0,31.0,35.0,58.0,3.0,31.0,60.0,1.0
11.0,12.0,35.0,49.0,1.0,11.0,80.0,1.0
11.0,31.0,35.0,71.0,1.0,31.0,105.0,1.0
11.0,16.0,35.0,62.0,1.0,12.0,42.0,0.0
11.0,16.0,36.0,66.0,2.0,12.0,62.0,1.0
11.0,16.0,32.0,70.0,1.0,12.0,62.0,1.0
11.0,16.0,35.0,38.0,3.0,12.0,35.0,1.0
11.0,12.0,35.0,47.0,2.0,11.0,77.0,1.0
11.0,16.0,35.0,54.0,3.0,12.0,250.0,1.0
11.0,16.0,35.0,43.0,3.0,12.0,54.0,1.0
11.0,31.0,35.0,57.0,3.0,31.0,150.0,0.0
11.0,31.0,32.0,49.0,3.0,31.0,70.0,1.0
11.0,12.0,32.0,58.0,2.0,11.0,76.0,1.0
11.0,16.0,35.0,43.0,3.0,12.0,96.0,1.0
11.0,31.0,35.0,60.0,2.0,31.0,48.0,1.0
11.0,16.0,35.0,51.0,2.0,12.0,75.0,1.0
11.0,31.0,35.0,72.0,3.0,31.0,48.0,0.0
11.0,31.0,35.0,77.0,3.0,31.0,80.0,0.0
11.0,12.0,35.0,54.0,3.0,11.0,84.0,1.0
11.0,31.0,32.0,41.0,2.0,31.0,62.0,1.0
11.0,31.0,35.0,49.0,3.0,31.0,54.0,1.0
11.0,31.0,32.0,39.0,2.0,31.0,36.0,1.0
11.0,12.0,35.0,48.0,1.0,11.0,70.0,1.0
11.0,31.0,35.0,37.0,1.0,31.0,72.0,1.0
11.0,16.0,35.0,62.0,3.0,12.0,66.0,1.0
11.0,31.0,35.0,42.0,3.0,31.0,48.0,0.0
11.0,31.0,35.0,65.0,1.0,31.0,115.0,1.0
11.0,31.0,35.0,71.0,2.0,31.0,90.0,1.0
11.0,16.0,35.0,46.0,3.0,12.0,84.0,0.0
11.0,31.0,35.0,58.0,2.0,31.0,65.0,1.0
11.0,31.0,35.0,47.0,2.0,31.0,78.0,1.0
11.0,16.0,35.0,52.0,3.0,12.0,72.0,0.0
11.0,12.0,35.0,48.0,1.0,11.0,72.0,1.0
11.0,31.0,35.0,57.0,1.0,31.0,70.0,1.0
11.0,31.0,35.0,51.0,3.0,31.0,80.0,0.0
11.0,16.0,35.0,67.0,1.0,12.0,71.0,1.0
11.0,31.0,35.0,52.0,1.0,31.0,73.0,1.0
11.0,31.0,35.0,76.0,3.0,31.0,48.0,0.0
11.0,12.0,35.0,69.0,1.0,11.0,65.0,1.0
11.0,31.0,35.0,52.0,3.0,31.0,56.0,0.0
11.0,16.0,35.0,79.0,1.0,12.0,73.0,1.0
11.0,31.0,35.0,61.0,3.0,31.0,50.0,0.0
11.0,12.0,35.0,46.0,1.0,11.0,85.0,1.0
11.0,31.0,36.0,50.0,2.0,31.0,65.0,1.0
11.0,31.0,35.0,35.0,3.0,31.0,32.0,0.0
11.0,31.0,35.0,61.0,1.0,31.0,70.0,1.0
11.0,12.0,35.0,45.0,2.0,11.0,83.0,1.0
11.0,31.0,35.0,51.0,3.0,31.0,70.0,0.0
11.0,16.0,35.0,39.0,3.0,12.0,98.0,0.0
11.0,17.0,36.0,36.0,1.0,21.0,60.0,1.0
11.0,12.0,36.0,54.0,2.0,11.0,75.0,1.0
11.0,12.0,36.0,44.0,1.0,11.0,85.0,1.0
11.0,31.0,36.0,29.0,2.0,31.0,50.0,0.0
11.0,12.0,35.0,50.0,3.0,11.0,48.0,1.0
11.0,17.0,36.0,44.0,1.0,21.0,56.0,1.0
11.0,17.0,36.0,59.0,2.0,21.0,36.0,0.0
11.0,16.0,36.0,51.0,1.0,12.0,70.0,1.0
11.0,17.0,36.0,56.0,2.0,21.0,75.0,0.0
11.0,12.0,36.0,52.0,1.0,11.0,38.0,1.0
11.0,12.0,36.0,42.0,2.0,11.0,50.0,1.0
11.0,17.0,36.0,43.0,1.0,21.0,54.0,1.0
11.0,12.0,36.0,30.0,2.0,11.0,60.0,1.0
11.0,16.0,36.0,30.0,2.0,12.0,72.0,1.0
11.0,17.0,36.0,60.0,1.0,21.0,40.0,1.0
11.0,17.0,36.0,44.0,3.0,21.0,998.0,1.0
11.0,17.0,36.0,27.0,3.0,21.0,20.0,1.0
11.0,12.0,36.0,58.0,2.0,11.0,65.0,1.0
11.0,12.0,36.0,49.0,1.0,11.0,60.0,1.0
